PassengerID,FlightType,TicketType,LuggageType,SelfCheckin,CarryOnWeight,SystemArrivalTime,DepartureTime,TotalJourneyTime,Queue_Normal_Check-in,ServiceStart_Normal_Check-in,ServiceCompletion_Normal_Check-in,Traversal_Normal_Check-in,Queue_Self_Check-in,ServiceStart_Self_Check-in,ServiceCompletion_Self_Check-in,Traversal_Self_Check-in,Queue_Regular_Security,ServiceStart_Regular_Security,ServiceCompletion_Regular_Security,Traversal_Regular_Security,Queue_Fast_Track_Security,ServiceStart_Fast_Track_Security,ServiceCompletion_Fast_Track_Security,Traversal_Fast_Track_Security,Queue_Customs,ServiceStart_Customs,ServiceCompletion_Customs,Traversal_Customs,Queue_Boarding,ServiceStart_Boarding,ServiceCompletion_Boarding,Traversal_Boarding
12,International,ECONOMY,STANDARD,true,1.766,37.262,62.706,25.444,-1.000,-1.000,-1.000,-1.000,39.400,39.400,42.428,1.582,44.010,48.329,53.297,1.189,-1.000,-1.000,-1.000,-1.000,54.486,54.486,57.143,0.454,57.597,60.031,62.706,-1.000
13,Domestic,BUSINESS,STANDARD,false,5.457,39.400,57.708,18.308,46.102,46.102,49.733,0.729,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,50.462,50.462,53.648,0.877,-1.000,-1.000,-1.000,-1.000,54.525,54.525,57.708,-1.000
14,Domestic,BUSINESS,STANDARD,false,5.147,46.102,60.031,13.929,49.734,49.734,52.959,0.919,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,53.878,53.878,56.143,1.179,-1.000,-1.000,-1.000,-1.000,57.322,57.708,60.031,-1.000
15,Domestic,ECONOMY,OVERSIZED,false,4.615,49.734,70.568,20.834,58.713,58.713,62.245,0.989,-1.000,-1.000,-1.000,-1.000,63.234,63.234,67.234,0.670,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,67.904,67.904,70.568,-1.000
16,Domestic,BUSINESS,OVERSIZED,false,3.355,58.713,73.716,15.003,63.078,63.078,66.761,1.076,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,67.837,67.837,69.946,0.781,-1.000,-1.000,-1.000,-1.000,70.727,70.727,73.716,-1.000
17,Domestic,BUSINESS,STANDARD,false,6.902,63.078,75.855,12.778,64.883,66.761,68.961,1.564,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,70.525,70.525,72.792,1.258,-1.000,-1.000,-1.000,-1.000,74.050,74.050,75.855,-1.000
18,Domestic,ECONOMY,STANDARD,true,1.870,64.883,79.023,14.140,-1.000,-1.000,-1.000,-1.000,66.594,66.594,69.067,1.627,70.694,70.694,74.140,0.910,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,75.050,75.855,79.023,-1.000
19,Domestic,BUSINESS,STANDARD,true,4.540,66.594,81.346,14.752,-1.000,-1.000,-1.000,-1.000,67.244,69.067,72.680,1.283,-1.000,-1.000,-1.000,-1.000,73.963,73.963,76.463,1.056,-1.000,-1.000,-1.000,-1.000,77.519,79.023,81.346,-1.000
20,Domestic,ECONOMY,STANDARD,true,2.309,67.244,86.521,19.277,-1.000,-1.000,-1.000,-1.000,67.365,72.680,75.888,1.491,77.378,77.378,81.084,1.130,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,82.214,84.366,86.521,-1.000
21,International,BUSINESS,OVERSIZED,false,3.435,67.365,84.366,17.001,70.478,70.478,74.481,1.139,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,75.620,76.463,78.250,1.267,79.518,79.518,81.481,0.368,81.848,81.848,84.366,-1.000
22,Domestic,BUSINESS,STANDARD,true,4.749,70.478,89.664,19.186,-1.000,-1.000,-1.000,-1.000,80.862,80.862,82.773,0.738,-1.000,-1.000,-1.000,-1.000,83.511,83.511,85.740,1.237,-1.000,-1.000,-1.000,-1.000,86.976,86.976,89.664,-1.000
23,Domestic,FIRST,STANDARD,false,5.833,80.862,91.557,10.695,80.963,80.963,83.184,0.727,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,83.911,85.740,87.991,1.116,-1.000,-1.000,-1.000,-1.000,89.107,89.664,91.557,-1.000
24,Domestic,BUSINESS,STANDARD,false,4.511,80.963,102.514,21.552,92.380,92.380,96.127,0.848,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,96.975,96.975,99.206,0.731,-1.000,-1.000,-1.000,-1.000,99.937,99.937,102.514,-1.000
25,International,BUSINESS,STANDARD,false,3.343,92.380,107.568,15.189,92.570,96.127,98.978,1.883,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,100.862,100.862,102.882,0.988,103.870,103.870,105.233,0.090,105.323,105.323,107.568,-1.000
26,Domestic,BUSINESS,STANDARD,false,3.986,92.570,109.650,17.080,92.598,98.978,101.771,0.840,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,102.611,102.882,105.077,0.842,-1.000,-1.000,-1.000,-1.000,105.920,107.568,109.650,-1.000
27,Domestic,BUSINESS,STANDARD,false,4.784,92.598,113.093,20.495,94.472,101.771,106.489,1.158,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,107.647,107.647,109.625,1.081,-1.000,-1.000,-1.000,-1.000,110.705,110.705,113.093,-1.000
28,Domestic,BUSINESS,STANDARD,false,3.270,94.472,115.376,20.904,94.821,106.489,109.005,0.752,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,109.756,109.756,112.335,0.986,-1.000,-1.000,-1.000,-1.000,113.322,113.322,115.376,-1.000
